Number,Title,Abstract,Keywords
11,A deep learning-based model for defect detection in laser-powder bed fusion using in-situ thermographic monitoring,"Additive manufacturing of metal components with laser-powder bed fusion is a very complex process, since powder has to be melted and cooled in each layer to produce a part. Many parameters influence the printing process; however, defects resulting from suboptimal parameter settings are usually detected after the process. To detect these defects during the printing, different process monitoring techniques such as melt pool monitoring or off-axis infrared monitoring have been proposed. In this work, we used a combination of thermographic off-axis imaging as data source and deep learning-based neural network architectures, to detect printing defects. For the network training, a k-fold cross validation and a hold-out cross validation were used. With these techniques, defects such as delamination and splatter can be recognized with an accuracy of 96.80%. In addition, the model was evaluated with computing class activation heatmaps. The architecture is very small and has low computing costs, which means that it is suitable to operate in real time even on less powerful hardware.",Quality assurance Machine learning Additive manufacturing Convolutional neural networks
12,"Toward the digital twin of additive manufacturing: Integrating thermal simulations, sensing, and analytics to detect process faults","The goal of this work is to achieve the defect-free production of parts made using Additive Manufacturing (AM) processes. As a step towards this goal, the objective is to detect flaws in AM parts during the process by combining predictions from a physical model (simulation) with in-situ sensor signatures in a machine learning framework. We hypothesize that flaws in AM parts are detected with significantly higher statistical fidelity (F-score) when both in-situ sensor data and theoretical predictions are pooled together in a machine learning model, compared to an approach that is based exclusively on machine learning of sensor data (black-box model) or physics-based predictions (white-box model). We test the hypothesized efficacy of such a gray-box model or digital twin approach in the context of the laser powder bed fusion (LPBF) and directed energy deposition (DED) AM processes. For example, in the DED process, we first predicted the instantaneous spatiotemporal distribution of temperature in a thin-wall titanium alloy part using a computational heat transfer model based on graph theory. Subsequently, we combined the preceding physics-derived thermal trends with in-situ temperature measurements obtained from a pyrometer in a readily implemented supervised machine learning framework (support vector machine). We demonstrate that the integration of temperature predictions from an ab initio heat transfer model and in-situ sensor data is capable of detecting flaws in the DED-produced thin-wall part with F-score approaching 90%. By contrast, the F-score decreases to nearly 80% when either temperature measurements from the in-situ sensor or temperature distribution predictions from the theoretical model are used alone by themselves. This work thus demonstrates an early foray into the digital twin paradigm for real-time process monitoring in AM via seamless integration of physics-based modeling (simulation), in-situ sensing, and data analytics (machine learning).", Additive manufacturing digital twin thermal simulations graph theory data analytics machine learning sensors laser powder bed fusion directed energy deposition thermal cameraphotodetectorpyrometerporositymeltpoolthin-walloverhang
13,Data fusion methods for statistical process monitoring and quality characterization in metal additive manufacturing,"Metal additive manufacturing (AM) technologies enable the production of complex shapes, lightweight structures and novel functional features. Such increased complexity of the products imposes various challenges in terms of statistical process monitoring and quality assessment. However, one great potential of AM processes, compared to conventional ones, consists of the possibility of gathering a large amount of data layer by layer. This study investigates a data fusion methodology to combine in-situ data from multiple sensors embedded in Electron Beam Melting (EBM) systems to automatically detect faults and process errors. The aim consists of making sense of information already available from the system to enhance its embedded intelligence via novel data mining techniques. A real case study in EBM is presented and discussed.",Electron beam melting data fusions tatistical process monitoring support vector machine
14,Layerwise Anomaly Detection in Laser Powder-Bed Fusion Metal Additive Manufacturing,"A growing research trend in additive manufacturing (AM) calls for layerwise anomaly detection as a step toward enabling real-time process control, in contrast to ex situ or postprocess testing and characterization. We propose a method for layerwise anomaly detection during laser powder-bed fusion (L-PBF) metal AM. The method uses high-speed thermal imaging to capture melt pool temperature and is composed of the following four-step anomaly detection procedure: (1) using the captured thermal images, a process signature of a just-fabricated layer is generated. Next, a signature difference is obtained by subtracting the process signature of that particular layer from a prespecified reference signature, (2) a screening step selects potential regions of interests (ROIs) within the layer that are likely to contain process anomalies, hence reducing the computational burden associated with analyzing the full layer data, (3) the spatial dependence of these ROIs is modeled using a Gaussian process model, and then pixels with statistically significant deviations are flagged, and (4) using the quantity and the spatial pattern of the flagged pixels as predictors, a classifier is trained and implemented to determine whether the process is in- or out-of-control. We validate the proposed method using a case study on a commercial L-PBF system custom-instrumented with a dual-wavelength imaging pyrometer for capturing the thermal images during fabrication.","anomaly detection, Gaussian processes, metal additive manufacturing, process monitoring, spatial statistics, two-wavelength pyrometer"
15,Linking pyrometry to porosity in additively manufactured metals,"Porosity in additively manufactured metals can reduce material strength and is generally undesirable. Although studies have shown relationships between process parameters and porosity, monitoring strategies for defect detection and pore formation are still needed. In this paper, instantaneous anomalous conditions are detected in-situ via pyrometry during laser powder bed fusion additive manufacturing and correlated with voids observed using post-build micro-computed tomography. Large two-color pyrometry data sets were used to estimate instantaneous temperatures, melt pool orientations and aspect ratios. Machine learning algorithms were then applied to processed pyrometry data to detect outlier images and conditions. It is shown that melt pool outliers are good predictors of voids observed post-build. With this approach, real time process monitoring can be incorporated into systems to detect defect and void formation. Alternatively, using the methodology presented here, pyrometry data can be post processed for porosity assessment.",Laser powder bed fusion Insitu monitoring Pyrometry Porosity Data analytics
16,Heterogeneous sensor-based condition monitoring in directed energy deposition,"The objective of this work is to detect in situ the occurrence of lack-of-fusion defects in titanium alloy (Ti-6Al-4_V) parts made using directed energy deposition (DED) additive manufacturing (AM). We use data from two types of in-process sensors, namely, a spectrometer and an optical camera which are integrated into an Optomec MR-7 DED machine. Both sensors are focused on capturing the dynamic phenomena around the melt pool region. To detect lack-of-fusion defects, we fuse (combine) the data from the in-process sensors invoking the concept of Kronecker product of graphs. Subsequently, we use the features derived from the graph Kronecker product as inputs to a machine learning algorithm to predict the severity (class or level) of average length of lack-of-fusion defects within a layer, which is obtained from offline X-ray computed tomography of the test parts. We demonstrate that the severity of lack-of-fusion defects is classified with statistical fidelity (F-score) close to 85% for a two-level classification scenario, and approximately 70% for a three-level classification scenario. Accordingly, this work demonstrates the use of heterogeneous in-process sensing and online data analytics for in situ detection of defects in DED metal AM process.",Directed energy deposition Lack-of-fusion defects In-process optical emission spectroscopy Plume imaging Kronecker graph product Sensor data fusion
17,An Encoder-Decoder Based Approach for Anomaly Detection with Application in Additive Manufacturing,"We present a novel unsupervised deep learning approach that utilizes an encoder-decoder architecture for detecting anomalies in sequential sensor data collected during industrial manufacturing. Our approach is designed to not only detect whether there exists an anomaly at a given time step, but also to predict what will happen next in the (sequential) process. We demonstrate our approach on a dataset collected from a real-world Additive Manufacturing (AM) testbed. The dataset contains infrared (IR) images collected under both normal conditions and synthetic anomalies. We show that our encoder-decoder model is able to identify the injected anomalies in a modern AM manufacturing process in an unsupervised fashion. In addition, our approach also gives hints about the temperature non-uniformity of the testbed during manufacturing, which was not previously known prior to the experiment.",additive manufacturing machine learning anomaly detection fault detection and diagnosis
18,Real-time seam defect identification for Al alloys in robotic arc welding using optical spectroscopy and integrating learning,"Accurate on-line weld defect detection in robotic arc welding manufacturing is still challenging, due to the complexity and diversity of weld defects. In this study, a new real-time defect identification method is proposed for Al alloys in robotic arc welding, using arc optical spectroscopy and an integrated learning method. Spectrum feature was extracted, based on the absolute coefficients of the principal components. Feature importance was quantitatively evaluated using the mean decrease accuracy of Principal Component Analysis-Random Forest (PCA-RF). A new indicator, e.g., Importance Factor, was proposed, based on the variance of the out-of-bag test error of RF to select the optimal feature subset. The proposed PCA-RF proved to effectively identify five classes of weld defects with better performance than support vector machine and back propagation neural network. Finally, the selection pattern of spectrum feature subset was investigated, before revealing the correlation mechanism of the selected lines spectrum and weld process.",Optical spectroscopy Aluminum alloy welding Defect on-line identification Principal component analysis Random forest
19,In-situ droplet inspection and closed-loop control system using machine learning for liquid metal jet printing,"Liquid Metal Jet Printing (LMJP) is a revolutionary three-dimensional (3D) printing technique in fast but low-cost additive manufacturing. The driving force is produced by magneto-hydrodynamic property of liquid metal in an alternating magnetic field. Due to its integrated melting and ink-jetting process, it can achieve 10x faster speed at 1/10th of the cost as compared to current metal 3D printing techniques. However, the jetting process is influenced by many uncertain factors, which impose a significant challenge to its process stability and product quality. To address this challenge, we present a closed-loop control framework by seamlessly integrating vision-based technique and neural network tool to inspect droplet behaviours and accordingly stabilize the printing process. This system automatically tunes the drive voltage applied to compensate the uncertain influence based on vision inspection result. To realize this, we first extract multiple features and properties from images to capture the droplet behaviour. Second, we use a neural network together with PID control process to determine how the drive voltage should be adjusted. We test this system on a piezoelectric-based ink-jetting emulator, which has a very similar jetting mechanism to the LMJP. Results show that significantly more stable jetting behavior can be obtained in real-time. This system can also be applied to other droplet related applications owing to its universally applicable characteristics.",Additive manufacturing Metal jetting Process inspection Closed-loop control Vision Neural network
20,Image Data-Based Surface Texture Characterization and Prediction Using Machine Learning Approaches for Additive Manufacturing,"The increase in the use of metal additive manufacturing (AM) processes in major industries like aerospace, defense, and electronics indicates the need for maintaining a tight quality control. A quick, low-cost, and reliable online surface texture measurement and verification system are required to improve its industrial adoption. In this paper, a comprehensive investigation of the surface characteristics of Ti-6Al-4V selective laser melted (SLM) parts using image texture parameters is discussed. The image texture parameters extracted from the surface images using first-order and second-order statistical methods, and measured 3D surface roughness parameters are used for characterizing the SLM surfaces. A comparative study of roughness prediction models developed using various machine learning approaches is also presented. Among the models, the Gaussian process regression (GPR) model gives an accurate prediction of roughness values with an R2 value of more than 0.9. The test data results of all models are presented.",additive manufacturing surface texture image data machine learning artificial intelligence data-driven engineering machine learning for engineering applications manufacturing automation
21,Decision Tree Methods for Predicting Surface Roughness in Fused Deposition Modeling Parts,"3D printing using fused deposition modeling (FDM) includes a multitude of control parameters. It is difficult to predict a priori what surface finish will be achieved when certain values are set for these parameters. The objective of this work is to compare the models generated by decision tree algorithms (C4.5, random forest, and random tree) and to analyze which makes the best prediction of the surface roughness in polyethylene terephthalate glycol (PETG) parts printed in 3D using the FDM technique. The models have been created using a dataset of 27 instances with the following attributes: layer height, extrusion temperature, print speed, print acceleration, and flow rate. In addition, a dataset has been created to evaluate the models, consisting of 15 additional instances. The models generated by the random tree algorithm achieve the best results for predicting the surface roughness in FDM parts.",fused deposition modeling (FDM) PETG surface roughness;data mining decision tree C4.5 random forest random tree
22,Improving surface finish quality in extrusion-based 3D concrete printing using machine learning-based extrudate geometry control,"3D Concrete Printing (3DCP) has been gaining popularity in the past few years. Due to the nature of line-by-line printing and the slump of the material deposition in each extruded line, 3D printed structures exhibit obvious lines or marks at the layer interface, which affects surface finish quality and potentially affect bonding strength between layers. This makes it necessary to control the extrudate formation in 3DCP. However, it is difficult to directly analyse the extrudate formation process because the extrudate shape depends on many parameters. In this paper, a machine learning technique is applied to correlate the formation of the extrudate to the printing parameters using an Artificial Neural Network model. The training data for the model development was obtained from extrudates printed in 3DCP experiments. The performance of the trained model was experimentally validated and the predicted extrudate geometry resulting from the developed model showed good agreement to the actual extrudate geometry. Subsequently, the developed model was used to find proper nozzle shapes to produce designated extrudate geometries. Significant improvement on the printing quality was demonstrated using nozzle shapes generated from the model on 3D printed objects consisting a vertical wall, an inclined wall and a curved part.",NONE
23,Use of Data Mining Techniques for the Prediction of Surface Roughness of Printed Parts in Polylactic Acid (PLA) by Fused Deposition Modeling (FDM): A Practical Application in Frame Glasses Manufacturing,"In the present work, ten data mining algorithms have been used to generate models capable of predicting the surface roughness of parts printed on polylactic acid (PLA) by using fused deposition modeling (FDM). The models have been trained using experimental data measured on 27 horizontal (XY) and 27 vertical (XZ) specimens, printed using different values for the parameters studied (layer height, extrusion temperature, print speed, print acceleration and flow). The models generated by multilayer perceptron (MLP) and logistic model trees (LMT) have obtained the best results in a cross-validation. Although it does not obtain such optimal results, the J48 algorithm (C4.5) allows the generation of models in the form of a decision tree. These trees permit to determine which print parameters have an influence on the surface roughness. For XY specimens, the surface roughness measured in the direction parallel to the extrusion path (Ra,0,XY ) depends on the flow, the print temperature and the layer height; in the direction perpendicular to the extrusion path, the surface roughness (Ra,90,XY) depends only on the flow. For XZ specimens, the surface roughness measured in the direction parallel to the extrusion path (Ra,0,XZ) depends only on the print speed; in the direction perpendicular to the extrusion path (Ra,90,XZ), it depends on the layer height and the extrusion temperature. According to the study carried out, the most suitable set up provides values of Ra,0,XY, Ra,90,XY, Ra,0,XZ and Ra,90,XZ equal to 0.46, 1.18, 0.45 and 11.54, respectively. A practical application of this work is the manufacture of PLA frame glasses using FDM",fused deposition modeling FDM FFF data mining machine learning PLA surface roughness WEKA decision trees C4.5 neural networks ANN frame glasses
24,Focus Variation Measurement and Prediction of Surface Texture Parameters Using Machine Learning in Laser Powder Bed Fusion,"The powder bed fusion-based additive manufacturing process uses a laser to melt and fuse powder metal material together and creates parts with intricate surface topography that are often influenced by laser path, layer-to-layer scanning strategies, and energy density. Surface topography investigations of as-built, nickel alloy (625) surfaces were performed by obtaining areal height maps using focus variation microscopy for samples produced at various energy density settings and two different scan strategies. Surface areal height maps and measured surface texture parameters revealed the highly irregular nature of surface topography created by laser powder bed fusion (LPBF). Effects of process parameters and energy density on the areal surface texture have been identified. Machine learning methods were applied to measured data to establish input and output relationships between process parameters and measured surface texture parameters with predictive capabilities. The advantages of utilizing such predictive models for process planning purposes are highlighted.",additive manufacturing surface analysis machine learning laser powder bed fusion Metrology Sensing monitoring and diagnostics
25,Modeling and optimization of fused deposition modeling (FDM) process through printing PLA implants using adaptive neuro-fuzzy inference system (ANFIS) model and whale optimization algorithm,"Fused deposition modeling (FDM) is a widely used additive manufacturing (AM) technique for developing complex features and geometries within the shortest possible time as per customer needs. Nowadays, the customization of biomedical parts is becoming possible due to the increasing accuracy and enhanced ability of FDM machines to control the process parameters. The control on surface quality of parts produced by FDM process is of prime concern for the researchers, which are induced due to the stair steps on sloping surfaces, and needs addressing. In addition, to meet customer demands rapidly, the FDM part build time must be reduced without much compromising the strength of the parts necessary for specific applications. In the same context, this paper presents the effect and control of FDM process parameters, i.e., layer thickness, raster angle, infill density and internal structure, on surface roughness, build time and compressive strength of developed biomedical implant parts. The face-centered central composite design is employed to consummate the experimental trials, and experimental data are used to establish an adaptive neuro-fuzzy inference system (ANFIS) model for predicting the surface roughness, build time and compressive strength with respect to changes in FDM process parameters. At the end, whale optimization algorithm (WOA) has been applied to minimize surface roughness, minimize build time and maximize compressive strength simultaneously. Then, the optimal solutions obtained from WOA methodology have been compared with ANFIS predicted results. The results reveal that ANFIS-WOA methodology provides optimal combination of FDM process parameters accurately.",Neuro-fuzzy Biomedical implant Fused deposition modeling Compressive strength Surface roughness
26,Data-driven Prediction of Surface Quality in Fused Deposition Modeling using Machine Learning,"In order to meet the growing demand for high-quality individualized products by end users, manufacturing companies need to establish new production technologies such as additive manufacturing. However, the industrial and automated application of these manufacturing technologies is currently impaired by low process stability and fluctuating product quality. This paper presents a novel approach for predicting product quality in Fused Deposition Modeling, based on process parameters, inline measurement data and a suitable machine learning algorithm. This should provide the basis for implementing process control and ensuring consistently high product quality.",Predictive Quality Machine Learning Additive Manufacturing
27,Surface Roughness Prediction in Additive Manufacturing Using Machine Learning,"To realize high quality, additively manufactured parts, real-time process monitoring and advanced predictive modeling tools are crucial for accelerating quality assurance and quality control in additive manufacturing. While previous research has demonstrated the effectiveness of physics- and model-based diagnosis and prognosis for additive manufacturing, very little research has been reported on real-time monitoring and prediction of surface roughness in fused deposition modeling (FDM). This paper presents a new data-driven approach to surface roughness prediction in FDM. A real-time monitoring system is developed to monitor the health condition of a 3D printer and FDM processes using multiple sensors. A predictive model is built by random forests (RFs). Experimental results have shown that the predictive model is capable of predicting the surface roughness of a printed part with very high accuracy.",NONE
28,ARIMA-GMDH: a low-order integrated approach for predicting and optimizing the additive manufacturing process parameters,"This paper proposes a novel data-driven approach for predicting and optimizing the additive manufacturing process parameters. The integrated scheme consists of three popular algorithms: (1) group method for data handling (GMDH) as the engine of neural networks, (2) autoregressive integrated moving average (ARIMA) for characterizing spatial collinearity of the multiple response, and (3) indirect optimization on the basis of self-organization (IOSO) to adopt the emerged correlated multi-response optimization problem. As a numerical case study, a computer-generated fused deposition modeling data tested the introduced algorithms. The finite element (FE) simulation model consists the multi-layer residual stresses as targets, in respect of printing speeds as process parameters. The residual stresses predicted by the low-order integrated ARIMA-GMDH variants correlate well with the FE simulations. This approach provides a viable data-driven alternative for computationally based rapid prototyping and additive manufacturing processes.",
29,Machine Learning for Optimizing Technological Properties of Wood Composite Filament-Timberfill Fabricated by Fused Deposition Modeling,"This work evaluates the applicability of machine learning (ML) tools in additive manufacturing (AM) processes. One of the most employed AM techniques is fused deposition modeling (FDM), where a part is created from a computer-aided design (CAD) model using layer-by-layer deposition of a feedstock plastic filament material extruded through a nozzle. Owing to the large number of parameters involved in the manufacturing process, it is necessary to identify printing parameters ranges to improve mechanical properties as yield and ultimate strength. In that sense, ML has proven to be a reliable tool in engineering and materials processing, where hybrid ML algorithms are the best alternative since one-part acts as a forecaster, and the other part acts as an optimizer. To evaluate the performance of wood composite filament fabricated by FDM a uniaxial tensile test was performed at room temperature. The experimental procedure was carried out with a design of experiments of four factors at three levels, where the statistical significance of layer thickness, fill density, printing speed and raster angle was obtained as well as their interactions. Furthermore, ML’s algorithm accuracy was explored, where a neuro-fuzzy system (ANFIS) was trained and tested with the experimental data. Through the development of the present work, it is concluded that layer thickness and raster angle play a significant role in FDM of a wood composite filament where fibers presence increases the layer thickness accelerating the FDM process.",
30,Laser Direct Metal Deposition of 2024 Al Alloy: Trace Geometry Prediction via Machine Learning,"Laser direct metal deposition is an advanced additive manufacturing technology suitably applicable in maintenance, repair, and overhaul of high-cost products, allowing for minimal distortion of the workpiece, reduced heat affected zones, and superior surface quality. Special interest is growing for the repair and coating of 2024 aluminum alloy parts, extensively utilized for a wide range of applications in the automotive, military, and aerospace sectors due to its excellent plasticity, corrosion resistance, electric conductivity, and strength-to-weight ratio. A critical issue in the laser direct metal deposition process is related to the geometrical parameters of the cross-section of the deposited metal trace that should be controlled to meet the part specifications. In this research, a machine learning approach based on artificial neural networks is developed to find the correlation between the laser metal deposition process parameters and the output geometrical parameters of the deposited metal trace produced by laser direct metal deposition on 5-mm-thick 2024 aluminum alloy plates. The results show that the neural network-based machine learning paradigm is able to accurately estimate the appropriate process parameters required to obtain a specified geometry for the deposited metal trace.",
31,Re-perceive 3D printing with Artificial Intelligence,"How can machine learning be combined with intelligent construction, material testing and other related topics to develop a new method of fabrication? This paper presents a set of experiments on the dynamic control of the heat deflection of thermoplastics in searching for a new 3D printing method with the dynamic behaviour of PLA and with a comprehensive workflow utilizing mechanic automation, computer vision, and artificial intelligence. Additionally, this paper will discuss in-depth the performance of different types of neural networks used in the research and conclude with solid data on the potential connection between the structure of neural networks and the dynamic, complex material performance we are attempting to capture",
32,A convolutional neural network approach on bead geometry estimation for a laser cladding system,"Laser cladding is a complex manufacturing process. As the laser beam melts the feedstock powder, small changes in laser power or traverse speed reflect on deviations of the deposition’s geometry. Thus, fine-tuning these process parameters is crucial to achieve desirable results. In order to monitor and further understand the laser cladding process, an automated method for clad bead final geometry estimation is proposed. To do so, six different convolutional neural network architectures were developed to analyze the process’ molten pool image acquired by a 50-fps coaxial camera. Those networks receive both the camera image and the process parameters as inputs, yielding width and height of the clad beads as outputs. The results of the network’s performances show testing error mean values as little as 8 μm for clad beads around a millimeter in height. For the width dimension, in 95% of the cases, the error remained under 15% of the bead’s width. Plots of the target versus the estimated values show coefficients of determination over 0.95 on the testing set. The architectures are then compared, and their performances are discussed. Deeper convolutional layers far exceeded the performance of shallower ones; nonetheless, deeper densely connected layers decreased the performances of the networks when compared with shallower ones. Those results represent yet another alternative on intelligent process monitoring with potential for real-time usage, taking the researches one step further into developing a closed-loop control for this process.",
33,Automatic quality assessments of laser powder bed fusion builds from photodiode sensor measurements,"While Laser powder bed fusion (L-PBF) machines have greatly improved in recent years, the L-PBF process is still susceptible to several types of defect formation. Among the monitoring methods that have been explored to detect these defects, camera-based systems are the most prevalent. However, using only photodiode measurements to monitor the build process has potential benefits, as photodiode sensors are cost-efficient and typically have a higher sample rate compared to cameras. This study evaluates whether a combination of photodiode sensor measurements, taken during L-PBF builds, can be used to predict measures of the resulting build quality via a purely data-based approach. Using several unsupervised clustering approaches build density is classified with up to 93.54% accuracy using features extracted from three different photodiodes, as well as observations relating to the energy transferred to the material. Subsequently, a supervised learning method (Gaussian Process regression) is used to directly predict build density with a RMS error of 3.65%. The study, therefore, shows the potential for machine-learning algorithms to predict indicators of L-PBF build quality from photodiode build measurements only. This study also shows that, relative to the L-PBF process parameters, photodiode measurements can contribute to additional information regarding L-PBF part quality. Moreover, the work herein describes approaches that are predominantly probabilistic, thus facilitating uncertainty quantification in machine-learnt predictions of L-PBF build quality.",
